Date,Start Time,End Time,Code,Subject_en,Subject_th,Credits,Note,Section,Section_Type_en,Section_Type_th,Building,Room,Instructor_th,Instructor_en,Proctor
2026-03-16,13:00,16:00,01206223,Introduction to Experimental Design for Engineers,การออกแบบแผนการทดลองเบื้องต้นสำหรับวิศวกร,3,"CB CN
โน๊ตย่อ A4 ลายมือตนเอง จำนวน 1 แผ่น 2 หน้า
อนุญาต เครื่องคิดเลข คณะแจก NP ไม่ต้อง Reset เครื่อง",1,Lecture,บรรยาย,อาคาร 11,N803,"วรวุฒิ หวังวัชรกุล(ผู้กรอกเกรด) ,พาพิศ วงศ์ชัยสุวัฒน์","Worawut Wangwatcharakul(Master) ,Papis Wongchaisuwat","นายวรวุฒิ หวังวัชรกุล
นางนงนุช สุโภชน์"
2026-03-16,13:00,16:00,01206223,Introduction to Experimental Design for Engineers,การออกแบบแผนการทดลองเบื้องต้นสำหรับวิศวกร,3,"CB CN
โน๊ตย่อ A4 ลายมือตนเอง จำนวน 1 แผ่น 2 หน้า
อนุญาต เครื่องคิดเลข คณะแจก NP ไม่ต้อง Reset เครื่อง",250,Lecture,บรรยาย,อาคาร 11,N806,"วรวุฒิ หวังวัชรกุล(ผู้กรอกเกรด) ,พาพิศ วงศ์ชัยสุวัฒน์","Worawut Wangwatcharakul(Master) ,Papis Wongchaisuwat","นางสาวสุวิชภรณ์ วิชกูล
นางสาววรลักษณ์ โสมะภีร์"
2026-03-16,13:00,16:00,01206223,Introduction to Experimental Design for Engineers,การออกแบบแผนการทดลองเบื้องต้นสำหรับวิศวกร,3,"CB CN
โน๊ตย่อ A4 ลายมือตนเอง จำนวน 1 แผ่น 2 หน้า
อนุญาต เครื่องคิดเลข คณะแจก NP ไม่ต้อง Reset เครื่อง",2,Lecture,บรรยาย,อาคาร 11,N801,"พาพิศ วงศ์ชัยสุวัฒน์(ผู้กรอกเกรด) ,วรวุฒิ หวังวัชรกุล","Papis Wongchaisuwat(Master) ,Worawut Wangwatcharakul","นางสาวพาพิศ วงศ์ชัยสุวัฒน์
นายธนภัทร ยุตติยงค์"
2026-03-16,13:00,16:00,01206223,Introduction to Experimental Design for Engineers,การออกแบบแผนการทดลองเบื้องต้นสำหรับวิศวกร,3,"CB CN
โน๊ตย่อ A4 ลายมือตนเอง จำนวน 1 แผ่น 2 หน้า
อนุญาต เครื่องคิดเลข คณะแจก NP ไม่ต้อง Reset เครื่อง",2,Lecture,บรรยาย,อาคาร 11,N802,"พาพิศ วงศ์ชัยสุวัฒน์(ผู้กรอกเกรด) ,วรวุฒิ หวังวัชรกุล","Papis Wongchaisuwat(Master) ,Worawut Wangwatcharakul","นายคธายุทธ ก๋ามะโน
นางปนัดดา มาชัยภูมิ"
2026-03-16,13:00,16:00,01206223,Introduction to Experimental Design for Engineers,การออกแบบแผนการทดลองเบื้องต้นสำหรับวิศวกร,3,"CB CN
โน๊ตย่อ A4 ลายมือตนเอง จำนวน 1 แผ่น 2 หน้า
อนุญาต เครื่องคิดเลข คณะแจก NP ไม่ต้อง Reset เครื่อง",251,Lecture,บรรยาย,อาคาร 11,N802,"พาพิศ วงศ์ชัยสุวัฒน์(ผู้กรอกเกรด) ,วรวุฒิ หวังวัชรกุล","Papis Wongchaisuwat(Master) ,Worawut Wangwatcharakul","นายคธายุทธ ก๋ามะโน
นางปนัดดา มาชัยภูมิ"
2026-03-16,13:00,16:00,01208464,Fire Alarm and Smoke Control System,ระบบแจ้งเหตุเพลิงไหม้และระบบควบคุมควันไฟ,3,"OB ON
อนุญาต เครื่องคิดเลข Casio FX-991CW P ไม่ต้อง Reset เครื่อง",1,Lecture,บรรยาย,อาคาร 11,N809,ณัฐศักดิ์ บุญมี(ผู้กรอกเกรด),Nathasak Boonmee(Master),"นายณัฐศักดิ์ บุญมี
นางสาวรุ่งรัตน์ กลิ่นสงวน"
2026-03-16,13:00,16:00,01208464,Fire Alarm and Smoke Control System,ระบบแจ้งเหตุเพลิงไหม้และระบบควบคุมควันไฟ,3,"OB ON
อนุญาต เครื่องคิดเลข Casio FX-991CW P ไม่ต้อง Reset เครื่อง",250,Lecture,บรรยาย,อาคาร 11,N809,ณัฐศักดิ์ บุญมี(ผู้กรอกเกรด),Nathasak Boonmee(Master),"นายณัฐศักดิ์ บุญมี
นางสาวรุ่งรัตน์ กลิ่นสงวน"
2026-03-17,9:00,12:00,01203111,Applied Statistics for Civil Engineering,สถิติประยุกต์สำหรับวิศวกรรมโยธา,2,"CB CN
อนุญาต เครื่องคิดเลข P ต้อง Reset เครื่อง
อนุญาต เครื่องคิดเลข NP ไม่ต้อง Reset เครื่อง",1,Lecture,บรรยาย,อาคาร 14,204,วราเมศวร์ วิเชียรแสน(ผู้กรอกเกรด),Varameth Vichiensan(Master),"นายวราเมศวร์ วิเชียรแสน
นางสาคร ศรีกาฬสินธุ์"
2026-03-17,9:00,12:00,01203111,Applied Statistics for Civil Engineering,สถิติประยุกต์สำหรับวิศวกรรมโยธา,2,"CB CN
อนุญาต เครื่องคิดเลข P ต้อง Reset เครื่อง
อนุญาต เครื่องคิดเลข NP ไม่ต้อง Reset เครื่อง",2,Lecture,บรรยาย,อาคาร 14,205,ฆนิศา รุ่งแจ้ง(ผู้กรอกเกรด),Kanisa Rungjang(Master),"นางสาวฆนิศา รุ่งแจ้ง
นางสาวเขมจิรา ปฐมโอฬาร"
2026-03-17,9:00,12:00,01203221,Mechanics of Materials I,กลศาสตร์ของวัสดุ I,3,"CB CN
อนุญาต เครื่องคิดเลข P ต้อง Reset เครื่อง
อนุญาต เครื่องคิดเลข NP ไม่ต้อง Reset เครื่อง",1,Lecture,บรรยาย,อาคาร 14,803,"รังสรรค์ วงศ์จีรภัทร(ผู้กรอกเกรด) ,ปิยะ โชติกไกร","Rangsan Wongjeeraphat(Master) ,Piya Chotickai","นายรังสรรค์ วงศ์จีรภัทร
นายอติชาติ แพรสี
นายบดินทร์ กาญจนากร"
2026-03-17,9:00,12:00,01203251,Engineering Geology,ธรณีวิทยาทางวิศวกรรม,3,"CB CN
อนุญาต เครื่องคิดเลข P ต้อง Reset เครื่อง
อนุญาต เครื่องคิดเลข NP ไม่ต้อง Reset เครื่อง",1,Lecture,บรรยาย,อาคาร 11,N701,"บารเมศ วรรธนะภูติ(ผู้กรอกเกรด) ,สุริยน เปรมปราโมทย์ ,สุสิทธิ์ ฉายประกายแก้ว","Barames Vardhanabhuti(Master) ,Suriyon Prempramote ,Susit Chaiprakaikeow","นายจิรัฏฐ์ เทพรักษ์
นายเอกราช พุฒิดำรง"
2026-03-17,9:00,12:00,01203251,Engineering Geology,ธรณีวิทยาทางวิศวกรรม,3,"CB CN
อนุญาต เครื่องคิดเลข P ต้อง Reset เครื่อง
อนุญาต เครื่องคิดเลข NP ไม่ต้อง Reset เครื่อง",1,Lecture,บรรยาย,อาคาร 11,N702,"บารเมศ วรรธนะภูติ(ผู้กรอกเกรด) ,สุริยน เปรมปราโมทย์ ,สุสิทธิ์ ฉายประกายแก้ว","Barames Vardhanabhuti(Master) ,Suriyon Prempramote ,Susit Chaiprakaikeow","นายสุสิทธิ์ ฉายประกายแก้ว
นางสิรินัดดา จันทร์ศักดิ์"
2026-03-17,9:00,12:00,01205327,Mobile Communications,การสื่อสารเคลื่อนที่,3,"CB CN
อนุญาต เครื่องคิดเลข P ไม่ต้อง Reset เครื่อง
อนุญาต เครื่องคิดเลข NP ไม่ต้อง Reset เครื่อง",1,Lecture,บรรยาย,อาคาร 14,910,วิรุณศักดิ์ สันติเพ็ชร์(ผู้กรอกเกรด),Wiroonsak Santipach(Master),นายวิรุณศักดิ์ สันติเพ็ชร์
2026-03-17,9:00,12:00,01205327,Mobile Communications,การสื่อสารเคลื่อนที่,3,"CB CN
อนุญาต เครื่องคิดเลข P ไม่ต้อง Reset เครื่อง
อนุญาต เครื่องคิดเลข NP ไม่ต้อง Reset เครื่อง",250,Lecture,บรรยาย,อาคาร 14,910,วิรุณศักดิ์ สันติเพ็ชร์(ผู้กรอกเกรด),Wiroonsak Santipach(Master),นายวิรุณศักดิ์ สันติเพ็ชร์
2026-03-17,9:00,12:00,01208241,Thermodynamics,อุณหพลศาสตร์,3,"CB CN
อนุญาต เครื่องคิดเลข Casio FX-991CW P ไม่ต้อง Reset เครื่อง
อนุญาตให้นำตารางเทอร์โมไดนามิกส์เข้าห้องสอบได้ 1 เล่ม
โดยห้ามมีกระดาษแนบใดๆทั้งสิ้น",250,Lecture,บรรยาย,อาคาร 11,S703,เอกไท วิโรจน์สกุลชัย(ผู้กรอกเกรด),Ekathai Wirojsakunchai(Master),"นางสาวฐิตยาภา มีนาภินันท์
นางสาวขนิษฐา จันทร์นวน"
2026-03-17,9:00,12:00,01208241,Thermodynamics,อุณหพลศาสตร์,3,"CB CN
อนุญาต เครื่องคิดเลข Casio FX-991CW P ไม่ต้อง Reset เครื่อง
อนุญาตให้นำตารางเทอร์โมไดนามิกส์เข้าห้องสอบได้ 1 เล่ม
โดยห้ามมีกระดาษแนบใดๆทั้งสิ้น",1,Lecture,บรรยาย,อาคาร 11,S704,เอกไท วิโรจน์สกุลชัย(ผู้กรอกเกรด),Ekathai Wirojsakunchai(Master),"นายเอกไท วิโรจน์สกุลชัย
นางกนกวรรณ ภาทันณ์"
2026-03-17,9:00,12:00,01208241,Thermodynamics,อุณหพลศาสตร์,3,"CB CN
อนุญาต เครื่องคิดเลข Casio FX-991CW P ไม่ต้อง Reset เครื่อง
อนุญาตให้นำตารางเทอร์โมไดนามิกส์เข้าห้องสอบได้ 1 เล่ม
โดยห้ามมีกระดาษแนบใดๆทั้งสิ้น",2,Lecture,บรรยาย,อาคาร 11,S705,ธเนศ อรุณศรีโสภณ(ผู้กรอกเกรด),Tanet Aroonsrisopon(Master),"นายชวลิต กิตติชัยการ
นายมารุศ ชาวไร่"
2026-03-17,9:00,12:00,01208241,Thermodynamics,อุณหพลศาสตร์,3,"CB CN
อนุญาต เครื่องคิดเลข Casio FX-991CW P ไม่ต้อง Reset เครื่อง
อนุญาตให้นำตารางเทอร์โมไดนามิกส์เข้าห้องสอบได้ 1 เล่ม
โดยห้ามมีกระดาษแนบใดๆทั้งสิ้น",1,Lecture,บรรยาย,อาคาร 11,S707,เอกไท วิโรจน์สกุลชัย(ผู้กรอกเกรด),Ekathai Wirojsakunchai(Master),"นายธเนศ อรุณศรีโสภณ
นางสุภาพร สถิตย์"
2026-03-17,9:00,12:00,01208241,Thermodynamics,อุณหพลศาสตร์,3,"CB CN
อนุญาต เครื่องคิดเลข Casio FX-991CW P ไม่ต้อง Reset เครื่อง
อนุญาตให้นำตารางเทอร์โมไดนามิกส์เข้าห้องสอบได้ 1 เล่ม
โดยห้ามมีกระดาษแนบใดๆทั้งสิ้น",2,Lecture,บรรยาย,อาคาร 11,S707,ธเนศ อรุณศรีโสภณ(ผู้กรอกเกรด),Tanet Aroonsrisopon(Master),"นายธเนศ อรุณศรีโสภณ
นางสุภาพร สถิตย์"
